PREDEFINED LENS DATABASE OPERANDS;;;;
OPERAND NAME;"""i"" ";"""j""";"""k""";DESCRIPTION
LYVERT;surf #;Global ref surf #;(not used);"Global X-direction cosine of the local Y-axis of surface ""i"", referenced to a global origin at surface ""j""."
MYVERT;surf #;Global ref surf #;(not used);"Global Y-direction cosine of the local Y-axis of surface ""i"", referenced to a global origin at surface ""j""."
NYVERT;surf #;Global ref surf #;(not used);"Global Z-direction cosine of the local Y-axis of surface ""i"", referenced to a global origin at surface ""j""."
LZVERT;surf #;Global ref surf #;(not used);"Global X-direction cosine of the local Z-axis of surface ""i"", referenced to a global origin at surface ""j""."
MZVERT;surf #;Global ref surf #;(not used);"Global Y-direction cosine of the local Z-axis of surface ""i"", referenced to a global origin at surface ""j""."
NZVERT;surf #;Global ref surf #;(not used);"Global Z-direction cosine of the local Z-axis of surface ""i"", referenced to a global origin at surface ""j""."
LENGTH or OAL;surf #;surf #;(not used);"Algebraic sum of axial thicknesses from surface ""i"" to surface ""j"""
;(def=0);(def=last);;
MLENGTH or OPTLEN;surf #;surf #;(not used) ;"Physical length from surface ""i"" to surface ""j"" along a path connecting surface vertices and ignoring tilts and decentrations. This is the sum of the axial thicknesses multiplied by the refractive index in each space."
;(def=0);(def=last);;
ET or ETY;surf #;(not used);(not used);"Edge thickness from surface ""i"" to surface ""i""+1. Surface tilts and decentrations are ignored. If clear apertures are assigned, they are assumed circular with the YZ-plane value being used. The larger of the values on surface ""i"" and ""i""+1 is used. If no clear apertures are assigned, then the larger of the sums of PY+PCY on surfaces ""i"" and ""i""+1 are used in the calculation. Clear aperture decentrations and tilts are ignored."
ETX;surf #;(not used);(not used);"Edge thickness from surface ""i"" to surface ""i""+1. Surface tilts and decentrations are ignored. If clear apertures are assigned, they are assumed circular with the XZ-plane value being used. The larger of the values on surface ""i"" and ""i""+1 is used. If no clear apertures are assigned, then the larger of the sums of PX+PCX on surfaces ""i"" and ""i""+1 are used in the calculation. Clear aperture decentrations and tilts are ignored."
C1 through C96;surf #;(not used);(not used);"Any one of the 96 coefficients of a special surface attached to surface ""i"""
SHAPEFAC;surf #;(not used);(not used);"This returns the shape factor for the lens element which begins at surface ""i"" and terminates at surface ""i+1"".  The shape factor is defined by :"
;;;;
;;;;where: r is the radius of curvature
PIVX;surf #;(not used);(not used);"X-alternate pivot point at surface ""i"""
PIVY;surf #;(not used);(not used);"Y-alternate pivot point at surface ""i"""
PIVZ;surf #;(not used);(not used);"Z-alternate pivot point at surface ""I"""
CLPX;surf #;(not used);(not used);"X-dimension of the clear aperture height at surface ""I"". Zero is returned if no clear aperture is assigned."
CLPY;surf #;(not used);(not used);"Y-dimension of the clear aperture height at surface ""I"". Zero is returned if no clear aperture is assigned."
GRS;surf#;(not used);(not used);diffraction grating spacing
WEIGHT;surf #;surf #;(not used) ;"MASS in Kgs of elements from surface ""i"" to surface ""j"". This calculation assumes spherical surfaces and ignores all decenters and tilts. It uses the specific gravity assigned to surfaces with the lens database command ""SPGR""."
;(def=0);(def=last);;
COST;surf #;surf #;(not used) ;Cost in cost units based upon a WEIGHT calculation multiplied by the individual surface price/Kg values stored in the lens database.
;(def=0);(def=last);;
ACT;surf #;actuator #;(not used);"The actuator value between –1.0 and 1.0 for actuator ""j"" on surface ""i"" if surface ""i"" is defined as a deformable surface. "
ACTMAX;surf #;(not used);(not used);"Returns the maximun actuator value on surface ""i"" if surface ""i"" is defined as a deformable surface. "
ACTMIN;surf #;(not used);(not used);"Returns the minumum actuator value on surface ""i"" if surface ""i"" is defined as a deformable surface. "
ACTMEAN;surf #;(not used);(not used);"Returns the average of all active actuator values on surface ""i"" if surface ""i"" is defined as a deformable surface. "
ACTSDEV;surf #;(not used);(not used);"Returns the standard deviation from the mean of all active actuator values on surface ""i"" if surface ""i"" is defined as a deformable surface. "
ACTPTOV;surf #;(not used);(not used);"Returns the peak to valley value for all active actuator values on surface ""i"" if surface ""i"" is defined as a deformable surface. "
